table_name,column_name,data_type,character_maximum_length,is_nullable,field_name
table329,column10153,double precision,,YES,Deduction Amt
table329,column8409,double precision,,YES,column8409
table329,column15331,double precision,,YES,Dr
table329,column15333,double precision,,YES,Cr
table329,column15332,double precision,,YES,Final Bill Amount
table329,column15343,double precision,,YES,Total Bill Amount
table329,column18608,double precision,,YES,Payment Days
table329,column18609,double precision,,YES,column18609
table329,column20329,double precision,,YES,Total Amount-PB Before Roundoff
table329,column20335,double precision,,YES,S.Tax Principal Amount
table329,column20334,double precision,,YES,Transportation S.Tax Rate
table329,column20336,double precision,,YES,Transportation S.Tax Amount
table329,column20557,double precision,,YES,Cess Principal Amount
table329,column20558,double precision,,YES,Cess Tax Rate
table329,column20559,double precision,,YES,Cess Tax Amount
table329,column26856,double precision,,YES,Roundoff Adjustment
table329,column31045,boolean,,YES,Auto Debit
table329,column33455,double precision,,YES,Total Gross Amount
table329,column35852,double precision,,YES,TDS Principal Amount
table329,column35851,double precision,,YES,TDS Rate
table329,column35850,double precision,,YES,TDS Posting Amount
table329,column37827,double precision,,YES,Total VAT Amount
table329,column39063,double precision,,YES,Transportation SBC Rate
table329,column39064,double precision,,YES,Transportation SBC Amount
table329,column39065,double precision,,YES,Transportation KKC Rate
table329,column39066,double precision,,YES,Transportation KKC Amount
table329,column39072,double precision,,YES,Total Transportation Service Tax Amount
table329,column40878,double precision,,YES,Total Tax Code Amount
table329,column41044,double precision,,YES,Tax Code Amount1
table329,column40731,double precision,,YES,Conversion Rate
table329,column56790,double precision,,YES,Foreign Amount
table329,column57770,double precision,,YES,TDS Principal
table329,column57771,double precision,,YES,Percentage
table329,column57772,double precision,,YES,TDS Amount
table288,column65519,double precision,,YES,Open Balcony Area in sq mtr
table288,column65520,double precision,,YES,Natural Terrace Area in sq ft
table288,column65521,double precision,,YES,Natural Terrace Area in sq mtr
table288,column65518,double precision,,YES,Open Balcony Area in sq ft
table231,column65545,double precision,,YES,GST Interest Waived Amount
table231,column65544,double precision,,YES,Installment Interest Waived Amount
table288,column65554,double precision,,YES,Carpet Area SQMT
table288,column65558,double precision,,YES,NUMBER OF CAR PARKINGS
table288,column65559,double precision,,YES,NUMBER OF TWO WHE ELER PARKINGS
table288,column65556,double precision,,YES,ENCLOSED BALCONY AREA SQFT
table288,column65557,double precision,,YES,Total Area SQMT
table288,column65555,double precision,,YES,ENCLOSED BALCONY AREA SQMT
table294,column65607,double precision,,YES,Sale Value
table329,column65738,boolean,,YES,Refresh Unlock FY
table207,column65797,text,,YES,Mandate or Sole Selling Payment Status
table286,column65805,text,,YES,Preferred location
table221,column65824,text,,YES,Vendor Code
table231,column65870,text,,YES,Remarks
table329,column65825,text,,YES,Vendor Code
table207,column65966,text,,YES,Reference No
table207,column65967,text,,YES,Gender
table288,column65912,text,,YES,Floors In Words
table207,column66054,double precision,,YES,RERA Rate Per Sq Mtrs
table292,column66060,double precision,,YES,Total Unit Amount With Other Charges
table288,column66103,text,,YES,GPK
table207,column66294,timestamp without time zone,,YES,Booking Form Date
table207,column66295,text,,YES,Application No.
table286,column66277,text,,YES,Aadhar No 3
table286,column66278,timestamp without time zone,,YES,DOB 3
table286,column66279,timestamp without time zone,,YES,DOB 2
table286,column66280,timestamp without time zone,,YES,DOB
table286,column66274,text,,YES,PAN No. 2
table286,column66282,text,,YES,EID Number
table286,column66269,text,,YES,Co Applicant Name
table286,column66259,text,,YES,Enquiry Source Extension
table286,column66283,text,,YES,Passport No
table286,column66275,text,,YES,PAN No. 3
table286,column66276,text,,YES,Aadhar No 2
table286,column66302,text,,YES,Walk In Source Name
table286,column66303,text,,YES,Walk In Source Description
table286,column66304,timestamp without time zone,,YES,Source Locking Date
table286,column66305,double precision,,YES,Source Change
table286,column66306,double precision,,YES,Source Days
table286,column66307,timestamp without time zone,,YES,Source Change Date
table286,column66301,text,,YES,Walk In Source
table286,column66273,text,,YES,PAN No.
table286,column66272,text,,YES,Aadhar No.
table286,column66270,text,,YES,Co Applicant Name 2
table286,column66271,text,,YES,Co Applicant Name 3
table288,column66286,text,,YES,Status 1
table288,column66285,text,,YES,Share
table288,column66287,text,,YES,Mortgage
table329,column66262,double precision,,YES,Proposed Advance Adjustment
table345,column66259,bigint,,YES,Enquiry Source Extension
table207,column66539,text,,YES,Payment Mode
table207,column66540,double precision,,YES,Initial Amount
table207,column66542,text,,YES,Initial Tran No
table207,column66545,timestamp without time zone,,YES,Initial Date
table207,column66544,text,,YES,Initial Bank
table345,column66546,text,,YES,RERA No
table355,column66842,text,,YES,Whatsapp URL
table207,column66854,double precision,,YES,OTLA Area
table207,column66852,double precision,,YES,Utility Area
table207,column66853,double precision,,YES,Service Slab
table288,column66851,double precision,,YES,OTLA Area
table288,column66849,double precision,,YES,Utility Area
table288,column66850,double precision,,YES,Service Slab
table292,column66856,double precision,,YES,Service Slab
table292,column66857,double precision,,YES,OTLA Area
table292,column66855,double precision,,YES,Utility Area
table288,column66951,double precision,,YES,Construction Rate
table288,column66952,double precision,,YES,Construction Amount
table288,column66950,double precision,,YES,Construction Area
table208,column63939,text,,YES,E Mail 1
table286,column66440,double precision,,YES,Booked Count
table286,column67187,text,,YES,Unit Code
table288,column67587,text,,YES,AHU
table288,column67586,double precision,,YES,Undivided Share (%)
table292,column67590,text,,YES,Master Community
table207,column67617,text,,YES,Initial Bank Branch
table307,column67728,text,,YES,Salary Advance Ledger
table355,column67978,text,,YES,SMS URL
table290,column68011,double precision,,YES,Parking Area1
table290,column68012,double precision,,YES,not to use 3
table290,column68014,double precision,,YES,not to use 1
table290,column68013,double precision,,YES,not to use 2
table372,column68015,double precision,,YES,not to use
table372,column68016,double precision,,YES,not to use 2
table372,column68017,double precision,,YES,not to use 3
table372,column68018,double precision,,YES,not to use 1
table292,column68028,double precision,,YES,Maintenance Amount
table290,column68048,text,,YES,Vertical Clearance
table290,column68047,text,,YES,Breadth
table290,column68046,text,,YES,Length
table372,column68049,text,,YES,Length
table372,column68050,text,,YES,Breadth
table372,column68051,text,,YES,Vertical Clearance
table372,column68052,text,,YES,Parking Area
table207,column68115,timestamp without time zone,,YES,EMI Start Date
table207,column68118,text,,YES,Frequency
table207,column68117,double precision,,YES,No Of EMI
table207,column68116,double precision,,YES,Deposit Amount
table25,column66632,text,,YES,States
table307,column67582,text,,YES,Working State
table207,column68450,double precision,,YES,Car Parking Amount
table372,column68524,text,,YES,Upload File1
table307,column68546,text,,YES,Business Unit
table307,column68545,text,,YES,Business Group
table207,column68549,text,,YES,Anti Money Laundering
table307,column68803,timestamp without time zone,,YES,Contract Start Date
table307,column68804,timestamp without time zone,,YES,Duration
table292,column68935,double precision,,YES,Semi Usable Space Sq. Ft.
table292,column68927,double precision,,YES,Terrace Area Sq. Mtr.
table292,column68931,double precision,,YES,RERA Balcony Area Sq. Mtr.
table292,column68928,double precision,,YES,Builtup Area Sq. Ft.
table292,column68937,double precision,,YES,Unit Number (AUDA)
table292,column68936,double precision,,YES,Semi Usable Space Sq. Mtr.
table292,column68934,double precision,,YES,Personal Foyer Area Sq. Mtr.
table292,column68938,double precision,,YES,Block Number (AUDA)
table292,column68933,double precision,,YES,Personal Foyer Area Sq. Ft.
table292,column68932,double precision,,YES,RERA Balcony Area Sq. Ft.
table292,column68939,double precision,,YES,Floor (AUDA)
table292,column68930,double precision,,YES,RERA Carpet Area Sq. Mtr.
table292,column68929,double precision,,YES,Builtup Area Sq. Mtr.
table289,column68680,text,,YES,Service Charges
table289,column60414,text,,YES,Frequency
table289,column68682,text,,YES,Expected Comption
table289,column60413,boolean,,YES,Installment Schedule Due
table289,column68681,text,,YES,Type of Plan
table289,column68679,text,,YES,Rental Guarantee
table289,column60415,double precision,,YES,No of Dues
table289,column68684,text,,YES,Buyback Option
table289,column68683,text,,YES,Project Status
table290,column69177,double precision,,YES,Width
table292,column70215,timestamp without time zone,,YES,NOC Date
table152,id,bigint,,NO,id
table152,column1330,text,,YES,Employee Group
table152,column1331,text,,YES,Employee Name
table152,column1332,text,,YES,Father / Mother Name
table152,column1333,text,,YES,Gender
table152,column1334,text,,YES,Address
table152,column1335,text,,YES,Country
table152,column1336,text,,YES,State
table152,column1337,text,,YES,City
table152,column1338,text,,YES,Pincode
table152,column1339,text,,YES,Phone No.
table152,column1340,text,,YES,Mobile No.
table152,column1341,text,,YES,Email
table152,column1342,timestamp without time zone,,YES,Date of Bitrth
table152,column1343,text,,YES,Blood Gruop
table152,column1345,text,,YES,Bank Name
table152,column1346,text,,YES,Branch
table152,column1347,text,,YES,Bank A/c Number
table152,column1349,text,,YES,Employee I.T. Pan
table152,column1350,text,,YES,PF Accounet Number
table152,column1351,text,,YES,ESI Number
table152,column1353,text,,YES,Pass Port Number
table152,column1354,text,,YES,Country of Issue
table152,column1355,timestamp without time zone,,YES,Pass Port Expiry Date
table152,column1356,text,,YES,Visa Number
table152,column1357,timestamp without time zone,,YES,Visa Expiry Date
table152,column1359,text,,YES,Work Permit Number
table152,column1360,timestamp without time zone,,YES,Contract Start Date
table152,column1361,timestamp without time zone,,YES,Contract Expiry Date
table152,created_by,character varying,255,YES,created_by
table152,created_date,timestamp without time zone,,YES,created_date
table152,modified_by,character varying,255,YES,modified_by
table152,modified_date,timestamp without time zone,,YES,modified_date
table152,state,bigint,,YES,status
table152,stateownerid,bigint,,YES,stateownerid
table38,column70269,time without time zone,,YES,In Time (24 Hr Format)
table38,column70277,text,,YES,Upload File
table38,column70270,time without time zone,,YES,Out Time (24 Hr Format)
table237,column70178,bigint,,YES,PR Line ID
table307,column70201,text,,YES,Employee Skill Status
table329,column67986,text,,YES,Document type
table292,column70439,text,,YES,Cancellation No
table292,column70438,timestamp without time zone,,YES,Cancellation Date
table207,column60707,text,,YES,Brokerage Amount Based On
table286,column70920,double precision,,YES,Token Amount
table286,column70919,text,,YES,Token Name
table286,column63255,timestamp without time zone,,YES,Site Visit Cancelled Date
table286,column63252,text,,YES,Visit Attend By
table286,column71350,timestamp without time zone,,YES,Site Visit Date
table195,id,bigint,,NO,id
table195,column1773,text,,YES,Status
table195,column1774,text,,YES,From
table195,column1775,text,,YES,To
table195,column1776,text,,YES,CC
table195,column1777,text,,YES,BCC
table195,column1778,text,,YES,Subject
table195,created_by,character varying,255,YES,created_by
table195,created_date,timestamp without time zone,,YES,created_date
table195,modified_by,character varying,255,YES,modified_by
table195,modified_date,timestamp without time zone,,YES,modified_date
table195,state,bigint,,YES,status
table195,stateownerid,bigint,,YES,stateownerid
table207,id,bigint,,NO,id
table207,column1796,text,,YES,column1796
table207,column1797,text,,YES,column1797
table207,column1798,text,,YES,column1798
table207,column1799,text,,YES,column1799
table207,column1800,text,,YES,column1800
table207,column1801,text,,YES,column1801
table207,column1802,text,,YES,column1802
table207,column1803,text,,YES,column1803
table207,column1804,text,,YES,column1804
table207,column1805,text,,YES,column1805
table207,column1806,text,,YES,column1806
table207,column1807,text,,YES,Source
table207,created_by,character varying,255,YES,created_by
table207,created_date,timestamp without time zone,,YES,created_date
table207,modified_by,character varying,255,YES,modified_by
table207,modified_date,timestamp without time zone,,YES,modified_date
table207,state,bigint,,YES,status
table207,column2138,text,,YES,column2138
table207,column2139,text,,YES,Advertising
table207,column2140,text,,YES,Others
table207,column2141,text,,YES,column2141
table207,column2142,text,,YES,column2142
table207,column2143,text,,YES,column2143
table207,column2188,text,,YES,column2188
table207,column2659,text,,YES,Member Name
table207,column2660,text,,YES,column2660
table207,column2661,text,,YES,Mobile
table207,column2662,text,,YES,column2662
table207,column2663,timestamp without time zone,,YES,column2663
table207,column2683,text,,YES,PAN
table207,column2669,text,,YES,Type of Member
table207,column2671,text,,YES,Single Name
table207,column2673,text,,YES,TODELETE Name1
table207,column2675,text,,YES,Remarks
table207,column2677,text,,YES,Car Parking Allowed
table207,column2679,text,,YES,TODELETE Name4
table207,column2681,text,,YES,Company Name
table207,column2664,text,,YES,column2664
table207,column2665,text,,YES,column2665
table207,column2666,text,,YES,column2666
table207,column2667,text,,YES,Unit No
table207,column2668,text,,YES,column2668
table207,column2685,text,,YES,Director Name1
table207,column2717,text,,YES,Member Code
table207,column2760,text,,YES,column2760
table207,column2765,timestamp without time zone,,YES,column2765
table207,column3362,text,,YES,Communication Address
table207,column3477,text,,YES,column3477
table207,column3681,text,,YES,Director Name2
table207,column3683,text,,YES,Trust Name
table207,column3685,text,,YES,column3685
table207,column3686,text,,YES,column3686
table207,column3703,text,,YES,Mobile No to Send SMS
table207,column3875,text,,YES,Friend Name
table207,column3876,text,,YES,Name of Person
table207,column3877,text,,YES,Well Wisher Name
table207,column3878,text,,YES,column3878
table207,column3874,text,,YES,Project Code
table207,column3879,text,,YES,Tab
table207,column3880,text,,YES,Installment Type
table207,column3903,text,,YES,Date of Birth Date
table207,column3904,text,,YES,Date of Birth Month
table207,column3905,text,,YES,Date of Birth Year
table207,column3906,text,,YES,Marriage Date Date
table207,column3907,text,,YES,Marriage Date Month
table207,column3908,text,,YES,Marriage Date Year
table207,column3950,text,,YES,column3950
table207,column3951,text,,YES,column3951
table207,column3953,text,,YES,column3953
table207,column3956,text,,YES,column3956
table207,column3958,text,,YES,column3958
table207,column3960,text,,YES,column3960
table207,column3962,text,,YES,column3962
table207,column3964,text,,YES,column3964
table207,column3936,text,,YES,column3936
table207,column4162,text,,YES,Sub Project
table207,column4145,text,,YES,E-Mail
table207,column4146,text,,YES,E-Mail2
table207,column4147,text,,YES,Telephone
table207,column4148,text,,YES,Telephone2
table207,column4149,text,,YES,Mobile2
table207,column4151,text,,YES,CLocation
table207,column4153,text,,YES,CCity
table207,column4155,text,,YES,CState
table207,column4157,text,,YES,CCountry
table207,column4159,text,,YES,CPincode
table207,column4160,text,,YES,Trustee Name1
table207,column4161,text,,YES,Trustee Name2
table207,column4163,text,,YES,Floors
table207,column4164,text,,YES,column4164
table207,column4179,text,,YES,column4179
table207,column4356,timestamp without time zone,,YES,Booking Date
table207,column4357,text,,YES,SO
table207,column4390,timestamp without time zone,,YES,column4390
table207,column4525,text,,YES,column4525
table207,column4696,text,,YES,column4696
table207,column4690,text,,YES,City
table207,column4691,text,,YES,State
table207,column4692,text,,YES,Country
table207,column4693,text,,YES,Pincode
table207,column4560,text,,YES,Channel Partner Name
table207,column4732,text,,YES,Location
table207,column4733,text,,YES,Project Name
table207,column4734,text,,YES,Reg
table207,column4875,timestamp without time zone,,YES,Installment Date
table207,column6394,text,,YES,column6394
table207,column9882,timestamp without time zone,,YES,Today Date
table207,column9935,text,,YES,Date and Location
table207,column11402,text,,YES,Received Document
table207,column8296,timestamp without time zone,,YES,column8296
table207,column8258,text,,YES,column8258
table207,column8276,text,,YES,column8276
table207,column8277,timestamp without time zone,,YES,column8277
table207,column11465,text,,YES,Enquiry No
table207,column11466,text,,YES,Booking Form
table207,column11468,timestamp without time zone,,YES,Allotment Date
table207,column11687,text,,YES,Unit Type
table207,column11707,text,,YES,Title
table207,column11708,text,,YES,Cheque No
table207,column11709,timestamp without time zone,,YES,Cheque Date
table207,column11710,text,,YES,Bank Name
table207,column11713,text,,YES,PAN 1
table207,column11715,text,,YES,Director PAN
table207,column12088,timestamp without time zone,,YES,Registration Date
table207,column12089,timestamp without time zone,,YES,Stamp Duty Date
table207,column12102,text,,YES,Registration No
table207,column12502,text,,YES,Party Name
table207,column15666,text,,YES,Source Description
table207,column15693,text,,YES,column15693
table207,column15694,text,,YES,column15694
table207,column15695,text,,YES,Loan Details
table207,column15726,text,,YES,Source Name
table207,column21336,text,,YES,Address
table207,column21338,text,,YES,Member Status
table207,column21351,text,,YES,Name1
table207,column21353,text,,YES,Name2
table207,column21355,text,,YES,Name3
table207,column21357,text,,YES,Name4
table207,column21873,text,,YES,Attended By
table207,column22784,text,,YES,Booking Amount Received
table207,column23837,text,,YES,Unit Code
table207,column27889,text,,YES,Refund Amount Collected
table207,column7738,text,,YES,Name of Company
table207,column34445,text,,YES,PAN No First Holder
table207,column34446,text,,YES,Age of First Holder
table207,column34448,text,,YES,PAN No Second Holder
table207,column34453,text,,YES,Age of Second Holder
table207,column34449,text,,YES,PAN No Third Holder
table207,column34452,text,,YES,Age of Third Holder
table207,column34450,text,,YES,PAN No Fourth Holder
table207,column34451,text,,YES,Age of Fourth Holder
table207,column41859,text,,YES,Custom Field 1
table207,column41860,text,,YES,Custom Field 2
table207,column41861,text,,YES,Custom Field 3
table207,column41862,text,,YES,Custom Field 4
table207,column41863,text,,YES,CP RERA Registration Number
table207,column40745,text,,YES,Aadhar Card No
table207,column41899,text,,YES,Aadhar No of First Holder
table207,column41900,text,,YES,Aadhar No of Second Holder
table207,column41901,text,,YES,Aadhar No of Third Holder
table207,column41902,text,,YES,Aadhar No of Fourth Holder
table207,column42244,text,,YES,Type of Member DFF
table207,column42299,text,,YES,Booking Type
table207,column42467,text,,YES,Special Tax Code
table207,column40132,timestamp without time zone,,YES,NOC Date for Meter
table207,column40131,text,,YES,NOC No. for Meter
table207,column44595,text,,YES,Post Sales Executive
table207,column44893,text,,YES,TDS Payable By Customer
table207,column46972,text,,YES,Search
table207,column45033,text,,YES,Generate Installment Letter
table207,column48441,text,,YES,Send SMS
table207,column48448,text,,YES,Sub Broker Name
table207,column50179,text,,YES,Level1 Broker
table207,column50180,text,,YES,Level1 Source Name
table207,column51700,text,,YES,Application Code
table207,column52985,text,,YES,TYPE
table207,column53033,text,,YES,ENQNO
table207,column53034,text,,YES,RELATIVENM
table207,column53036,text,,YES,ACCD
table207,column53037,text,,YES,MAINACCD
table207,column53038,text,,YES,STATUS
table207,column53039,text,,YES,LMBY
table207,column53040,timestamp without time zone,,YES,LMDT
table207,column53041,timestamp without time zone,,YES,EXPORTLMDT
table207,column53042,text,,YES,APPLICATIONNO
table207,column53043,text,,YES,PROVDOCNO
table207,column53044,text,,YES,PLANCHANGED
table207,column53047,text,,YES,MANUALFILENO
table207,column53048,timestamp without time zone,,YES,PRJAGREEMENTDT
table207,column53053,timestamp without time zone,,YES,REVDATE
table207,column53054,timestamp without time zone,,YES,CREATEDDT
table207,column53055,timestamp without time zone,,YES,ALLOTDT
table207,column53056,text,,YES,ALLOTREMARK
table207,column53057,text,,YES,Email2
table207,column53058,text,,YES,BROKON
table207,column53059,text,,YES,BROKERTYPE
table207,column50181,text,,YES,Level1 Source Description
table207,column50182,text,,YES,Level1 Source Person
table207,column50183,text,,YES,Level1 Friend Name
table207,column50184,text,,YES,Level1 Person Name
table207,column53842,text,,YES,Scheme Code
table207,column57433,timestamp without time zone,,YES,Birth Date
table207,column60037,timestamp without time zone,,YES,RERA Date
table207,column62839,text,,YES,PMAY Project
table207,column63640,text,,YES,Offer Name
table207,column65362,text,,YES,Car Parking Allotted
table207,column65363,text,,YES,No. of Car Parking Allotted
table207,column2610,double precision,,YES,Balance
table207,column2686,bigint,,YES,column2686
table207,stateownerid,bigint,,YES,stateownerid
table207,column3935,double precision,,YES,column3935
table207,column4034,double precision,,YES,column4034
table207,column3933,double precision,,YES,column3933
table207,column3934,double precision,,YES,column3934
table207,column3966,double precision,,YES,column3966
table207,column3967,double precision,,YES,column3967
table207,column3968,double precision,,YES,column3968
table207,column4079,double precision,,YES,column4079
table207,column4080,double precision,,YES,column4080
table207,column4081,double precision,,YES,column4081
table207,column4023,double precision,,YES,column4023
table207,column4084,double precision,,YES,column4084
table207,column4083,double precision,,YES,column4083
table207,column4165,double precision,,YES,Sale Value
table207,column4166,double precision,,YES,Sale Value Amount
table207,column4168,double precision,,YES,column4168
table207,column4169,double precision,,YES,column4169
table207,column4170,double precision,,YES,Installment Due
table207,column4171,double precision,,YES,Annexure Due
table207,column4172,double precision,,YES,Car Parking Due
table207,column4173,double precision,,YES,Extra Work Due
table207,column4174,double precision,,YES,Club Membership Due
table207,column4175,double precision,,YES,Interest Due
table207,column4176,double precision,,YES,Brokerage
table207,column4177,double precision,,YES,Total Due Amount
table207,column4178,double precision,,YES,Total Received Amount
table207,column4534,double precision,,YES,column4534
table207,column4535,double precision,,YES,column4535
table207,column4735,double precision,,YES,Total Slab Wise Percentage
table207,column4736,double precision,,YES,Total Slab Wise Amount
table207,column4737,double precision,,YES,Total Slab Wise Due Amt
table207,column4738,double precision,,YES,column4738
table207,column4739,double precision,,YES,column4739
table207,column4740,double precision,,YES,column4740
table207,column4741,double precision,,YES,column4741
table207,column4876,double precision,,YES,Installment Received1
table207,column4877,double precision,,YES,Annexure Received
table207,column4878,double precision,,YES,Car Parking Received
table207,column4879,double precision,,YES,Extra Work Received
table207,column4880,double precision,,YES,Club Membership Received
table207,column4881,double precision,,YES,Interest Received
table207,column4882,double precision,,YES,Interest Waived
table207,column4883,double precision,,YES,Balance Amount
table207,column6502,double precision,,YES,Refund Cr
table207,column6503,double precision,,YES,Refund Dr
table207,column6596,double precision,,YES,Carpet Area
table207,column6870,double precision,,YES,Brokerage Percentage
table207,column8234,double precision,,YES,Vat Received1
table207,column8237,double precision,,YES,Service Tax Received1
table207,column7834,double precision,,YES,column7834
table207,column10006,double precision,,YES,Brokerage Paid Amt
table207,column10605,double precision,,YES,Installment Due1
table207,column10607,double precision,,YES,Inst Balance1
table207,column8355,double precision,,YES,column8355
table207,column8261,double precision,,YES,column8261
table207,column7737,text,,YES,Sale Area1
table207,column11712,double precision,,YES,Initial Pay
table207,column11711,double precision,,YES,Balance Amt
table207,column12086,double precision,,YES,Registration Amount
table207,column12087,double precision,,YES,Stamp Duty Amount
table207,column12181,double precision,,YES,Broker Payment after Installment Received In Perc.
table207,column15671,double precision,,YES,Sale Area
table207,column15672,double precision,,YES,Rate Per Sq.ft
table207,column15745,double precision,,YES,BKRG Amt
table207,column15786,double precision,,YES,Grace Days On First Installment
table207,column15787,double precision,,YES,Grace Days On After First Installment
table207,column27734,boolean,,YES,Other Charges Included In Sale Value
table207,column27735,double precision,,YES,Other Charges Amount
table207,column27890,double precision,,YES,Refund Amount
table207,column28859,double precision,,YES,Total Slab Wise Sevice Tax Due
table207,column30479,double precision,,YES,No. Of Extra Car Parking Required
table207,column31251,double precision,,YES,MK
table207,column31698,double precision,,YES,Token Amt Received
table207,column33369,double precision,,YES,Check Count
table207,column34779,double precision,,YES,Total Annexure Amount
table207,column21380,double precision,,YES,Land / Plot Fixed Cost
table207,column39210,double precision,,YES,Terrace Area
table207,column39211,double precision,,YES,FB
table207,column39219,double precision,,YES,Total Cost
table207,column41365,double precision,,YES,External Wall Area
table207,column41367,double precision,,YES,Exclusive Terrace / Balcony Area
table207,column40851,double precision,,YES,Discount
table207,column42164,double precision,,YES,Custom Double 4
table207,column42165,double precision,,YES,Custom Double 5
table207,column42508,double precision,,YES,Discount Rate UoM
table207,column42161,double precision,,YES,Total Flat Cost
table207,column42162,double precision,,YES,Custom Double 2
table207,column42163,double precision,,YES,Custom Double 3
table207,column42726,double precision,,YES,Builtup Area
table207,column42727,double precision,,YES,Super Builtup Area
table207,column42728,double precision,,YES,FB+Garden
table207,column42922,double precision,,YES,Custom Double 1
table207,column44269,double precision,,YES,Custom Double 6
table207,column44270,double precision,,YES,Custom Double 8
