table_name,column_name,field_name
table286,column64671,Min Estimated Budget
table286,column64672,Max Estimated Budget
table286,column71990,Merge Status
table286,column64670,Location Preference
table286,column65147,Other Source
table286,column3606,E Mail2
table286,column2635,Profession
table286,column65150,Visit Count
table286,column64108,Age
table288,column65499,Interested In
table286,column64153,Bathroom Preferences
table286,column64151,Property Type
table288,column65502,Property Types
table286,column2641,Unit Type
table358,column6495,Type
table286,column64621,Unit 1
table286,column64618,UOM
table286,column53032,Non Qualified Reason
table286,column53031,Non Qualified Sub Reason
table286,column2642,Source
table345,column14199,Source
table286,column68387,Lead Type
table286,column68391,Channel Partner Name
table286,column68392,CP Contect Person Name
table286,column68393,CP Mobile No.
table286,column69817,Lead State
table355,column70017,Installment Date
table223,column37308,Filter Project Names
table355,column70018,Reminder 1
table355,column70019,Reminder 2
table355,column70020,Reminder 3
table355,column70021,Reminder 4
table355,column70022,Reminder 5
table355,column70016,Installment
table355,column70024,Drip Marketing1
table355,column70106,Reminder 1
table355,column70107,Reminder 2
table355,column70108,Reminder 3
table355,column70109,Reminder 4
table231,column14679,Service Tax Total
table231,column48708,GST Interest
table231,column9957,Tax Details
table231,column1979,Address
table231,column4568,Location
table231,column1982,Country
table231,column1983,Pincode
table231,column12869,Booking Date
table231,column48117,GST On Receipt Basis
table231,column32030,E-Mail
table231,column4297,Sub Project
table231,column1989,Unit No
table231,column39699,Installment Type
table231,column9972,Percentage Due
table231,column15660,Current Installment Due
table231,column4298,Floors
table231,column4753,Annexure Due
table231,column4757,Interest Due
table231,column37239,SBC For RLS
table231,column40924,HSN Code
table231,column40925,Tax Code
table231,column40936,Tax Code Amount
table231,column41734,Anti Profiteering Discount
table231,column42733,Tax Code Amount With Discount
table231,column32603,Interest Paid
table231,column4752,Installment Due
table207,column65683,Annexure GST Amount
table207,column65684,Annexure Due Amt
table207,column69595,Exceed Rera Demand Limit
table301,column69667,Collected By
table231,column15788,Grace Days
table231,column69705,Grace Date
table231,column1905,Subject
table223,column39705,Process Type
table207,column15672,Rate Per Sq.ft
table237,column10146,Due On
table221,column6602,Installation Narration
table221,column6604,Freight Narration
table329,column67983,Port Code
table329,column67985,Bill of Entry date
table329,column7061,Vat Rate2
table329,column67987,Bill of Entry value
table329,column67984,Bill of Entry No
table329,column71496,Import Type
table329,column71498,ICEGATE Reference Date
table329,column6717,Installation Naration
table329,column7056,Tax Amount1
table329,column7057,Total Amt1
table329,column10152,Deduction Details
table329,column8462,To Date
table329,column8461,From Date
table329,column15330,Debit or Credit Narration
table329,column9057,VR2
table280,column8953,Payment Terms No of Days
table280,column6600,Freight Narration
table275,column2715,Project Approval No
table295,column17230,Deduction Of S.Tax
table296,column12945,Installment Compensation
table296,column14663,Interest Deduction
table290,column2782,Comments
table207,column72853,Additional Discount Rate UoM
table207,column72854,Additional Discount
table290,column30545,Parking Level
table290,column4133,Car Parking Number@5
table372,column4221,Parking Level
table372,column30390,Manual Parking Number
table372,column4218,Carparking No
table207,column27735,Other Charges Amount
table207,column60880,Direction
table207,column72857,Executive Name
table286,column72856,Executive Name
table207,column72858,Executive Bonus Amount
table296,column7743,Narration
table281,column18890,Rate
table281,column4393,Basic Rate
table281,column37183,Secondary Rate
table281,column40847,Tax Code Amount1
table281,column40846,Tax Code
table288,column15767,Basic Rate Per Sq.ft
table307,column2921,Home Phone
table329,column44718,Search GRN
table221,column61207,Amended P.O. No
table329,column11548,From Challans
table292,column6393,PAN
table221,column4433,Mobile No
table221,column8157,Email
table307,column73429,Food Accommodation & Insurance
table232,column1922,Narration
table232,column6835,Name of Company
table329,column6713,Approved Amt-PB
table298,column7745,Narration
table234,column1946,Amount
table329,column18501,From POs
table234,column1945,Particulars
table237,column8136,Amt
table38,column341,Reason for Leave
table234,column1949,Sr. No
table342,column3884,Sr No
table340,column3913,Sr No
table297,column7734,Narration
table372,column30261,Remarks
table33,column30263,TODELETERemarks
table38,column30276,Remarks
table221,column11624,P.R.Date
table38,column8466,Employee Code
table342,column4705,Annexure Due Amt
table342,column4704,Annexure Amt
table347,column3618,Date and Location
table329,column7059,Tax Amount2
table329,column7063,Total Amt3
table296,column6442,Installment Deduction
table297,column4242,Unuse Total Paid Amt
table152,column1353,Pass Port Number
table152,column1354,Country of Issue
table152,column1356,Visa Number
table232,column18840,Vat S.Tax Balance
table232,column18834,Inst S.Tax Balance
table237,column15302,P.RNo
table340,column21810,Percent Increase
table340,column21805,Percent Decrease
table280,column6598,Installation Narration
table307,column72315,PI Amount
table329,column6715,Supplier Bill Date1
table286,column64477,Enq Country 1
table221,column11534,Remarks
table286,column64478,Enq Country 2
table286,column64553,Enq Country 3
table297,column71768,Broker Bill Date1
table297,column71769,Broker Bill No1
table295,column12734,Service Tax Received
table340,column21907,Print Order
table293,column30262,Remarks
table340,column3490,Particulars
table345,column34775,Remarks
table329,column7701,Narration
table296,column6458,Club Membership Deduction
table293,column21499,TODELETERemarks
table329,column8260,Name of Bill1
table281,column5241,Sr
table221,column32969,Total Discount Amt
table280,column10134,Total Approved Qty
table296,column12951,Total Compensation
table296,column6462,Total Deduction
table289,column4347,Total Percentage Slab Wise
table296,column6454,Car Parking Deduction
table281,column4388,Item Desc
table340,column4346,Payment Schedule Slab Wise
table296,column14213,Vat Deduction
table296,column6450,Extra Work Deduction
table296,column6446,Annexure Deduction
table207,column28859,Total Slab Wise Sevice Tax Due
table280,column10008,Effective Amount
table280,column6601,Narration
table232,column15640,New Member Code
table307,column7101,Confirmed Date
table295,column17196,S.Tax Received
table292,column21485,Address of Power Supplier
table232,column4743,Annexure Paid
table232,column8122,Extra Work Tax Amt
table221,column10056,Terms and Condition1
table221,column29976,Note On PO
table232,column4207,Club Membership Balance
table329,column6875,Total Amount-PB
table329,column8137,Total Amount-PO
table329,column20329,Total Amount-PB Before Roundoff
table280,column6611,Total Amt
table300,column33106,Activity Name
table207,column34451,Age of Fourth Holder
table292,column27390,Narration
table207,column4737,Total Slab Wise Due Amt
table207,column2673,TODELETE Name1
table307,column2911,Joined Date
table207,column4173,Extra Work Due
table329,column20558,Cess Tax Rate
table231,column1906,Particulars
table287,column2745,Agreement Details
table207,column2659,Member Name
table223,column11532,Narration
table307,column7097,Name of Company
table33,column31858,Name of Company
table348,column3665,Remarks
table329,column7058,Vat Rate1
table286,column44964,Signature
table221,column36638,Total Amount
table280,column36522,VAT Amt
table329,column35850,TDS Posting Amount
table221,column32970,Excise Amt
table221,column32971,VAT Amt
table237,column4420,Item Brand
table221,column4434,Total Amt
table329,column7072,SVat Rate2
table329,column7060,Total Amt2
table329,column33455,Total Gross Amount
table329,column7087,Lump-sum Discount Amount
table329,column15332,Final Bill Amount
table329,column7062,Tax Amount3
table329,column9053,VR1
table329,column15333,Cr
table329,column15331,Dr
table329,column9065,VR4
table329,column9061,VR3
table329,column11426,Terms and Conditions
table329,column35851,TDS Rate
table280,column5249,Total Amount
table281,column4408,Comperative Statement Entries
table234,column4282,Cancellation Notice Entries
table374,column4283,Total Amount
table286,column36649,Upcoming Project
table280,column36521,Excise Amt
table281,column36519,PO Open Till Date
table329,column26856,Roundoff Adjustment
table221,column10136,Loading Narration
table301,column12211,Service Tax
table207,column2675,Remarks
table207,column34450,PAN No Fourth Holder
table207,column2681,Company Name
table345,column38676,Enable Inbound Calls
table207,column3683,Trust Name
table207,column2671,Single Name
table207,column21357,Name4
table207,column34445,PAN No First Holder
table207,column34446,Age of First Holder
table207,column21353,Name2
table207,column21355,Name3
table221,column11460,Terms And Conditions File
table232,column4747,Interest Paid
table232,column8124,Car Parking Tax Amt
table232,column14203,Service Tax Balance
table232,column8180,Vat Paid
table232,column8181,Vat Tax Amt
table232,column8179,Vat Balance
table232,column18839,Interest S.Tax Balance
table232,column4744,Extra Work Paid
table232,column8126,Club Membership Tax Amt
table232,column4746,Club Membership Paid
table232,column14204,Service Tax Paid
table232,column8120,Annexure Tax Amt
table232,column4211,Interest Balance
table232,column18838,Club Membership S.Tax Balance
table232,column18837,Car Parking S.Tax Balance
table232,column4203,Car Parking Balance
table232,column18836,Extra Work S.Tax Balance
table232,column4199,Extra Work Balance
table232,column18835,Annexure S.Tax Balance
table232,column4195,Annexure Balance
table232,column4745,Car Parking Paid
table232,column4191,Inst Balance
table232,column4742,Installment Paid
table297,column3634,Net Amount
table297,column2860,Cheque Date
table297,column7043,Amt5
table280,column6599,Unloading Narration
table280,column10128,Weighing Narration
table281,column15301,P.RNo
table280,column10125,Loading Narration
table345,column42082,Incoming Mail Templates
table329,column6723,Freight Naration
table207,column15786,Grace Days On First Installment
table371,column30248,Remarks
table221,column11628,Terms and Conditions
table296,column14219,Service Tax Deduction
table329,column5265,Supplier Bill No1
table238,column4366,Dealer Name
table329,column7055,PService Tax
table329,column7071,SVat Rate1
table329,column6720,Unloading Naration
table221,column6605,Narration
table237,column31249,PO Open Till Date
table223,column37270,Filter Item Descriptions
table329,column20334,Transportation S.Tax Rate
table329,column6866,Amount in Words
table207,column21351,Name1
table237,column6710,GRN Balance Qty
table297,column2861,Drawn on
table329,column37827,Total VAT Amount
table286,column15661,Profession Information
table237,column40849,Tax Code
table223,column18588,Delivery Address
table286,column9953,Message
table286,column15663,Source Description
table329,column6777,Total Adjusted Amt
table231,column21915,Reminder Date1
table231,column21916,Reminder Date2
table307,column7123,Past Work Experience
table307,column2909,User Name
table307,column34383,Notice Period Agreed
table307,column30548,Bond Period in Years
table307,column34581,Probation Period In Days
table307,column19013,Position
table307,column34536,Probation Remind Date
table307,column19014,Grade
table307,column7109,Employee Status
table307,column38719,Category/Grade
table307,column7098,Department
table307,column7104,Designation
table307,column34535,Probation Completion Date
table307,column7108,Project Name
table307,column28091,Reporting Manager
table307,column21250,Ledger Name
table237,column2035,Purchase Order Entries
table221,column18596,Delivery Address
table207,column4736,Total Slab Wise Amount
table329,column20336,Transportation S.Tax Amount
table280,column38833,Zero Balance-Approved
table373,column4233,Member Name
table307,column41136,ESIC Type
table307,column41137,ESIC Deduction Rate
table307,column41138,ESIC Contribution Rate
table207,column41860,Custom Field 2
table207,column41859,Custom Field 1
table207,column41861,Custom Field 3
table207,column41862,Custom Field 4
table207,column41863,CP RERA Registration Number
table297,column7962,Total BK Amt
table223,column41034,Supplier Count For Direct PO
table286,column2634,Zone for RLS
table221,column39875,Filter Item Groups For Infrabasic
table221,column39876,Filter Item Descriptions For Infrabasic
table207,column9935,Date and Location
table207,column2679,TODELETE Name4
table207,column34448,PAN No Second Holder
table207,column34453,Age of Second Holder
table207,column34452,Age of Third Holder
table307,column36612,ERP User Login
table223,column37269,Filter Item Groups
table355,column3831,SMS MESSAGE
table307,column2915,Company Email
table307,column7128,Weekly Off
table307,column45209,Current Project Name
table307,column34582,Remainder E-Mail ID
table237,column6638,Item Group
table237,column4418,Item Desc
table231,column46664,Remarks
table355,column47041,URL Text Message
table345,column9931,Source Description
table355,column23689,Auto Timer Hour
table355,column23691,Auto Timer Day
table355,column23687,Auto Timer Month
table355,column23688,Auto Timer Date
table355,column23692,Conditions
table355,column15229,URL
table207,column15787,Grace Days On After First Installment
table207,column41899,Aadhar No of First Holder
table207,column12181,Broker Payment after Installment Received In Perc.
table207,column41900,Aadhar No of Second Holder
table207,column41901,Aadhar No of Third Holder
table207,column41902,Aadhar No of Fourth Holder
table207,column3908,Marriage Date Year
table207,column3907,Marriage Date Month
table207,column3906,Marriage Date Date
table286,column42424,Search Name or Number
table340,column4521,Percent
table340,column31461,Estimated Date
table288,column4127,Hold Reason
table345,column46849,URL
table345,column3616,Source Name
table286,column22776,Remarks
table345,column48042,Add New Record on Incoming Call
table345,column47796,Enable Other Form IVR Integration
table345,column41492,Enable Inbound Mail
table286,column2644,Customer Comments
table297,column2859,Cheque No
table371,column15876,Floors
table292,column21486,Payment Schedule
table292,column21484,Power Supplier Name
table371,column15875,Member Codes
table231,column9960,Service Tax HEC Amount
table231,column9959,Service Tax EC Amount
table231,column9958,Service Tax Amount
table297,column7961,Service Tax Amt
table307,column30554,Family Details
table307,column7118,PAN
table340,column51165,Amount
table340,column4339,Date
table355,column52273,Auto Entry ID
table307,column7100,Employee Name
table288,column53347,UNIT TOTAL CALULATED
table288,column53346,BUILTUP
table288,column53345,FLSHTYPE
table288,column53348,ACTUAL SALABLE RATE
table288,column53349,TOWORDS EAST
table288,column53350,TOWORDS WEST
table288,column53342,BEDROOMS
table288,column53343,ODANAME
table207,column46972,Search
table207,column53035,SPERSONCD
table33,column7158,Employee Code
table231,column54505,Cost Name
table231,column54506,Document No
table207,column54714,Tax Code Amount
table207,column54920,Total Schedule Amount1
table286,column51222,Upload PAN
table286,column51221,Upload Aadhar Card No
table207,column54919,Sale Value After Discuount1
table355,column51465,Whatsapp MESSAGE
table289,column53255,Code
table355,column54921,Balance Relation ID
table355,column54922,DB Sync ID
table355,column54923,Rapid Process Automation ID
table340,column53256,Adjust Booking Amount
table355,column55200,On Submit Text Message
table307,column53288,Reporting Manager Code
table307,column56161,Payscale Currency
table286,column51605,Lost Sub Reasons
table286,column51698,Industry
table286,column51778,location acceptable
table223,column10303,From P.R. No
table307,column7099,Employee Code
table221,column56789,Foreign Amount
table280,column56788,Foreign Amount
table329,column56790,Foreign Amount
table207,column4735,Total Slab Wise Percentage
table207,column34779,Total Annexure Amount
table281,column56446,Foreign Rate
table237,column56450,Foreign Rate
table358,column57755,Unit Wbs Code Applicable
table288,column57731,Serial No
table355,column57680,API Integration ID
table291,column4262,Floors
table307,column59002,Reporting HOD
table288,column57732,Structure Type
table288,column57733,Total No. Of Units
table288,column57734,Project definition
table288,column57738,Additional Plot Area
table288,column57739,Premium Plot Area
table288,column57750,Std Plot Area
table288,column57751,Proportionate Common Plot Area
table288,column57752,Proportionate road area
table288,column57753,Total plot area
table288,column57743,East Side
table288,column57744,West Side
table288,column57745,North Side
table288,column57746,South Side
table288,column57747,Revenue Survey No. Unit
table288,column57748,City Survey No
table288,column57749,Default Car Parkings Per Unit
table288,column57736,Single Unit GCA
table288,column57737,Factor SBUA
table288,column57740,Std Total Builtup Area
table288,column57741,Total Slab Area
table288,column57742,Elevation Treatment Area
table288,column53344,PHASECODE
table288,column53352,TOWORDS SOUTH
table288,column53351,TOWORDS NORTH
table288,column44427,South Side Length
table345,column51232,Website Link
table345,column51995,Redirect To Link
table231,column54508,CGST
table231,column54509,SGST
table371,column31047,Unit Codes
table231,column54507,TYPE
table291,column4261,Sub Project
table287,column60073,Non Metropolitan City
table207,column60085,Floor Rise Rate
table307,column60339,Roles and Responsibilities
table286,column2624,Party Name
table355,column61517,Voucher No.@SMS/H/Y/H/M/H/3
table373,column4241,Payment Entries
table355,column23695,MAIL CONTENTS
table355,column3822,Mail Attachment Links
table355,column23690,Auto Timer Minute
table355,column23699,POPUP TO
table355,column23700,POPUP MESSAGE
table25,column63201,Sign In Time
table288,column63351,3D Bird Eye View
table288,column63352,Virtual Reality View
table286,column64146,Min Estimated Budget 1
table286,column64147,Max Estimated Budget 1
table286,column64001,Visit End On
table286,column64006,Site Visit Conduct On
table286,column63254,Site Visit Completed Date
table286,column63251,Visit Schedule On
table286,column63253,Site Visit Remarks
table286,column64000,Visit Type
table286,column64003,Channel Partner
table286,column64154,Interested In
table286,column64152,Transaction Type
table374,column4269,City
table286,column64155,Furnished
table286,column64165,Funding Source
table286,column64167,Facing
table286,column64168,Purpose Type
table286,column64156,NRI
table286,column64002,Visit Confirmation
table286,column64150,Max Possession1
table286,column64149,Min Possession
table286,column64166,Configuration
table374,column4268,Address
table342,column3565,Particulars
table221,column47373,Net Amount
table329,column47485,Remarks
table287,column39700,Total Construction Area
table287,column39698,Plot Area
table288,column66285,Share
table288,column66286,Status 1
table288,column66287,Mortgage
table286,column66282,EID Number
table286,column66283,Passport No
table292,column39516,Promoters / Society Contribution
table287,column4120,Project Address
table290,column18734,Due Date
table25,column278,Date
table292,column39517,Maintenance Per Month
table292,column39519,Electric and Water Charges
table280,column8226,Email To
table280,column36578,Email CC
table307,column8399,Nos of Days
table307,column19893,Type of Leave to Credit
table307,column19890,Leave Credit Date
table307,column8951,Bonus Status
table301,column21536,Interest Date
table348,column3668,Approval Date
table221,column34752,PO Type
table293,column2818,NOC Date
table280,column5253,Lumpsum Other Chgs
table280,column10054,Terms and Conditions
table280,column10304,From P.R. No
table221,column2028,Supplier Name
table221,column11603,Project Address
table221,column10137,Lumpsum Loading/Unloading Chgs
table237,column18654,Others Chgs
table290,column18733,Date
table237,column34753,Exchange Currency
table237,column34754,Exchange Rate
table301,column4303,Member Code
table298,column6478,Cheque Date
table358,column34772,VAT Applicable
table152,column1342,Date of Bitrth
table358,column33532,Due From Installment Letter
table237,column6871,Discount Amt
table281,column5245,Discount Amount
table293,column3534,Project Name
table152,column1361,Contract Expiry Date
table207,column3362,Communication Address
table207,column4155,CState
table44,column8417,Upto Date
table372,column18756,Date
table44,column8949,Salary Start Date
table372,column4217,Member Name
table296,column6434,Date of Cancellation
table358,column17924,Start Date
table358,column17925,End Date
table221,column37174,Branch
table237,column9031,GRN Adj Qty
table207,column40132,NOC Date for Meter
table207,column11713,PAN 1
table44,column8416,Increment Date
table290,column30064,Manual Parking Number
table38,column39399,Type
table238,column2039,Supplier Name
table231,column12101,Registration No
table294,column35290,Agreement Date
table372,column35293,Unit No
table307,column7119,Bank Routing No
table329,column4483,Supplier Name
table294,column35291,Customer Address
table372,column35294,Floors
table372,column4220,Date of Allotment
table301,column7782,Received Amount
table232,column9881,Today Date
table307,column21255,Salary Generation Date
table289,column31048,Unit Codes
table207,column4174,Club Membership Due
table223,column7481,G.R. No
table292,column35363,Due Registration
table292,column35364,Due Stamp Duty
table372,column4216,Member Code
table290,column31247,Name of Company
table290,column7796,Project Code
table291,column4263,Validity Upto
table152,column1360,Contract Start Date
table237,column35181,Excise Principal Rate
table237,column35180,Excise Principal Amount
table281,column35179,Excise Principal Rate
table237,column10141,Excise Duty Rate
table290,column30544,Parking Area
table290,column4135,No of Car Parkings
table232,column1877,Cheque Date
table300,column2892,Date
table289,column3886,Name of Company
table290,column2781,Parking Location
table221,column10140,Weighing Chgs
table307,column7117,Phone
table307,column7111,Emergency Contact
table372,column4219,Amount
table358,column6499,Due Date
table357,column3867,City
table207,column4880,Club Membership Received
table33,column8384,Sign In
table207,column4879,Extra Work Received
table207,column3876,Name of Person
table207,column4159,CPincode
table33,column8529,FLate Time
table307,column28090,Father / Husband Name
table301,column23842,Unit Code
table280,column35979,Quotation valid upto
table207,column9882,Today Date
table292,column37145,Undivided Land Area
table288,column36707,Direction Towards East
table223,column11646,P.R.Date
table207,column4878,Car Parking Received
table290,column3496,Project Name
table297,column7046,Amt6
table293,column4229,Sub Project
table207,column4157,CCountry
table286,column3613,Well Wisher Name
table286,column3610,Name of Person
table286,column3608,Friend Name
table286,column2654,Finance Institute Name
table286,column15677,Telecalling Enquiry
table293,column21494,Contact Number
table307,column19943,Conveyance
table286,column11399,Company
table292,column30221,Rate of Stamp Duty
table290,column4132,Sub Project
table307,column43844,Educational
table33,column7159,Employee Name
table307,column43845,Professional
table307,column43846,Technical
table307,column42630,Driving License Valid Upto
table307,column42628,Driving License No
table33,column8532,Check Time
table207,column11687,Unit Type
table307,column19166,Deduct Advance Loan
table329,column44797,Last Bill
table33,column7160,Date
table207,column8237,Service Tax Received1
table298,column6469,Project Name
table358,column27733,Include In Payment Schedule
table289,column15874,Member Codes
table289,column12214,Service Tax
table286,column39479,Upload Enquiry Form
table292,column44272,Custom Double 6
table288,column44263,Custom Double 6
table288,column44264,Custom Double 7
table288,column44265,Custom Double 8
table207,column44269,Custom Double 6
table207,column44271,Custom Double 7
table207,column44270,Custom Double 8
table292,column44274,Custom Double 8
table292,column44273,Custom Double 7
table207,column4883,Balance Amount
table286,column9087,Telecall Attended By
table207,column2661,Mobile
table237,column36245,Secondary Rate
table301,column2900,Date
table301,column2896,Project Name
table286,column3850,Date
table358,column6497,Unit Type
table288,column26366,Project Code
table288,column3499,Project Name
table288,column3669,Extra Details
table372,column18757,Due Date
table288,column16266,Name of Company
table288,column26367,Sub Project Code
table286,column9951,Attended By
table288,column3675,Location
table288,column15710,Floor Rise Rate
table288,column8015,Sold Rate
table288,column27379,Stipulated Price
table358,column16068,Member Booking Date
table358,column3891,Name of Company
table358,column26370,Unit Code
table358,column23735,Voucher Type
table288,column33001,Land Area
table358,column7833,Project Code
table358,column14209,Member Code
table358,column14210,Member Name
table275,column2708,Location
table207,column12088,Registration Date
table208,column2687,Broker Company Name
table208,column2689,Contact Person2
table307,column8952,Increment Status
table208,column3644,Location
table208,column2700,Deal with
table292,column44474,Pre Registration Date
table292,column44475,Pre Registration No
table208,column2695,Mobile1
table208,column2696,Mobile2
table208,column2698,E-Mail
table208,column2702,PAN No.
table208,column2701,Dealing Locations
table208,column10694,Category of S.Tax
table208,column7973,Tax Category
table307,column8362,Deduct Advance Salary
table286,column2648,State
table286,column32974,TEnq No
table286,column3740,Mother tongue
table286,column3515,Title
table286,column15692,Your Present Home is
table221,column37141,Email Enabler
table307,column7138,Monthly Gross Salary
table286,column3595,Date of Birth Month
table223,column31185,Name of Company
table223,column2430,Quotation Date
table223,column4378,Quotation Reg No@S/RFQ/S/Y/S/4
table286,column3638,Desired Floor
table286,column22844,No. Of Flats Required
table286,column22842,No. Of Flats Required
table286,column15673,Possession Preference
table286,column22843,Flat Type 2
table223,column5239,Project Name
table301,column12206,Service Tax Received
table301,column12205,Service Tax Due
table357,column3869,Pincode
table287,column2764,Project Code
table287,column4121,Sub Project
table287,column3714,No of Flats
table357,column3868,State
table287,column2746,Property Card No
table287,column3856,Location
table287,column2742,City
table357,column3902,Country
table231,column23841,Unit Code
table223,column4383,Contractor Name
table300,column7798,Project Code
table237,column9007,GRN Rcvd Qty
table292,column30481,Agreement Date
table237,column10142,Excise Duty Amt
table237,column2025,Rate
table208,column2697,Telephone
table237,column8135,Vat Amt
table348,column4337,Pincode
table348,column4336,Country
table348,column3655,City
table348,column3653,Address
table237,column4421,Unit
table373,column4232,Member Code
table221,column6704,Total Bill Received
table307,column42504,Employee Retained
table207,column42508,Discount Rate UoM
table296,column15747,Unit Cancellation Charges
table307,column8639,MEnd Date
table374,column4280,Subject
table374,column4279,Regarding
table329,column10153,Deduction Amt
table329,column19168,Bill Due Date
table295,column6506,Date of Transfer
table280,column5248,Project Name
table207,column44595,Post Sales Executive
table307,column44594,Auto Calculate
table301,column7780,Voucher No
table280,column6612,Net Bill Amt
table280,column10129,Weighing Chgs
table207,column41365,External Wall Area
table207,column8234,Vat Received1
table281,column4391,Quantity
table286,column2625,Address
table280,column5247,Quotation Reg No
table280,column5257,Net Total
table280,column10007,Payment Days
table275,column3647,Contact Person2
table298,column14668,Interest Balance Cancel
table298,column14224,Vat Balance Cancel
table44,column8381,Increment Entertainment Allowance
table44,column8382,Increment Phone Allowance
table298,column6549,Extra Work Balance Cancel
table44,column8379,Increment HRA
